fips,pa_tweets,diet_tweets,smoking_tweets,alcohol_tweets,sleep_tweets,total_tweets,leisure_prev,smoking_prev,binge_prev,sleep_prev,obesity_prev,diet_prevalence,pa_rate,diet_rate,smoking_rate,alcohol_rate,sleep_rate,state
01097,15953,4273,813,6824,4018,39031,30.6939,21.7474,14.4132,41.193,40.7816,0.4255750708681503,0.4087263969665138,0.10947708231918218,0.020829596987010326,0.17483538725628348,0.10294381389152213,01
01099,246,71,10,104,72,621,35.6286,24.5857,11.7714,41.2714,46.1429,0.2199631260882925,0.3961352657004831,0.1143317230273752,0.01610305958132045,0.16747181964573268,0.11594202898550725,01
01101,7997,2231,433,3177,2107,19239,32.4108,19.0738,13.3308,43.0185,48.7246,0.3663380046039612,0.4156660949113779,0.11596236810645044,0.022506367274806382,0.16513332293778263,0.10951712666978533,01
01103,1890,456,74,848,396,4451,28.8185,21.2593,15.4222,37.8519,39.8519,0.3922265585329406,0.42462368007189394,0.10244888789036172,0.016625477420804315,0.19051898449786564,0.08896877106268254,01
01105,38,4,0,11,9,83,40.1,24.8667,10.6,43.4333,48.7333,0.3953356623548296,0.4578313253012048,0.04819277108433735,0.0,0.13253012048192772,0.10843373493975904,01
01107,360,40,6,107,55,667,33.04,22.1,12.54,40.14,41.34,0.0509633312616532,0.5397301349325337,0.05997001499250375,0.008995502248875561,0.16041979010494753,0.08245877061469266,01
01109,1396,376,63,611,391,3515,30.375,20.075,14.375,38.175,36.95,0.2733560293854148,0.39715504978662874,0.1069701280227596,0.017923186344238975,0.17382645803698435,0.1112375533428165,01
01111,113,32,7,44,44,293,31.4833,21.25,13.6,38.25,43.5667,0.3666630280537059,0.3856655290102389,0.10921501706484642,0.023890784982935155,0.15017064846416384,0.15017064846416384,01
01113,1397,426,73,523,364,3393,34.6077,23.1077,13.2615,43.3077,41.5538,0.2669442751709662,0.4117300324196876,0.125552608311229,0.0215148835838491,0.15414087827880932,0.10727969348659004,01
01115,1016,159,22,420,190,2218,27.9077,22.0462,15.0615,38.8462,39.1308,0.7693186143890369,0.4580703336339044,0.07168620378719567,0.009918845807033363,0.18935978358881875,0.08566275924256087,01
01117,2963,538,100,1208,493,6319,21.7553,15.4489,16.4255,33.6404,33.1957,0.5479646421814861,0.46890330748536163,0.08514005380598196,0.01582528881152081,0.1911694888431714,0.0780186738407976,01
01119,89,22,6,31,30,210,36.35,21.4,10.9,44.575,46.65,0.180411247547773,0.4238095238095238,0.10476190476190476,0.02857142857142857,0.14761904761904762,0.14285714285714285,01
01121,1407,268,63,441,307,3008,33.4636,23.3636,13.7227,42.5545,42.1045,0.4262048612077846,0.4677526595744681,0.08909574468085106,0.020944148936170214,0.1466090425531915,0.10206117021276596,01
01123,856,109,22,422,138,1899,33.11,22.0,12.93,38.21,41.25,0.1451862262825017,0.4507635597682991,0.0573986308583465,0.01158504476040021,0.2222222222222222,0.07266982622432859,01
01125,13126,2957,590,5491,2686,29935,29.6532,18.4298,16.7787,39.7936,40.7064,0.2813068005870235,0.43848338065809256,0.0987806914982462,0.019709370302321696,0.18343076666109906,0.08972774344412894,01
01127,1330,260,71,567,317,3015,32.1222,24.0389,14.4222,40.0111,37.6889,0.2653930731170973,0.44112769485903813,0.08623548922056384,0.023548922056384744,0.1880597014925373,0.10514096185737977,01
01129,75,16,4,39,31,198,31.48,23.56,13.8,41.52,43.4,0.1513238916256157,0.3787878787878788,0.08080808080808081,0.020202020202020204,0.19696969696969696,0.15656565656565657,01
01131,61,6,1,21,10,122,41.475,26.425,10.275,46.625,52.6,0.4196229648671808,0.5,0.04918032786885246,0.00819672131147541,0.1721311475409836,0.08196721311475409,01
01133,251,50,9,81,54,557,32.7857,23.6571,14.1857,37.4857,40.7286,0.1036524182219546,0.4506283662477558,0.08976660682226212,0.01615798922800718,0.14542190305206462,0.09694793536804308,01
02013,43,7,0,18,5,86,27.9,22.2,17.0,35.2,31.3,0.3903215536453359,0.5,0.08139534883720931,0.0,0.20930232558139536,0.05813953488372093,02
02016,59,18,3,20,20,136,25.55,21.25,19.35,35.45,33.95,0.213990289516274,0.4338235294117647,0.1323529411764706,0.022058823529411766,0.14705882352941177,0.14705882352941177,02
02020,14205,3420,701,6302,3027,33642,18.7673,16.4491,21.2945,30.8509,29.1509,0.4036380819688902,0.42224005707151774,0.10165864098448368,0.020837048926936566,0.187325367100648,0.08997681469591581,02
02050,132,33,6,56,28,301,32.3,34.2,20.6667,36.4,35.6333,0.6864162699112444,0.43853820598006643,0.10963455149501661,0.019933554817275746,0.18604651162790697,0.09302325581395349,02
02060,18,7,5,7,3,49,22.7,21.4,20.7,33.1,38.6,0.5626880641925778,0.3673469387755102,0.14285714285714285,0.10204081632653061,0.14285714285714285,0.061224489795918366,02
