FIPS,LAPOP1_10,Pop2010,diet_prevalence
13055,9754.0,23124,0.4218128351496281
13057,88412.0,163488,0.5407858680759444
13059,46717.0,99997,0.4671840155204656
13061,59.0,3183,0.01853597235312598
13063,101685.0,234005,0.4345419969658768
13065,527.0,6798,0.07752280082377169
13067,267654.0,650938,0.4111820173349843
13069,3064.0,26684,0.11482536351371608
13071,13423.0,32782,0.4094625099139772
13073,44520.0,108467,0.4104474171867941
13075,282.0,2151,0.13110181311018132
13077,57146.0,93027,0.6142947746353209
13079,5120.0,12630,0.4053840063341251
13081,1419.0,14960,0.09485294117647058
13085,192.0,7765,0.02472633612363168
13087,4984.0,20959,0.23779760484755952
13089,170400.0,491581,0.3466366682194796
13091,74.0,3257,0.022720294749769727
13093,7544.0,14918,0.5056978147204719
13095,40596.0,79332,0.511722886098926
13097,56909.0,107725,0.5282803434671618
13099,633.0,3280,0.19298780487804879
13101,1926.0,4034,0.4774417451660882
13103,11589.0,23322,0.4969127862104451
13105,4181.0,20166,0.20732916790637707
13107,5767.0,18533,0.3111746614147736
13109,0.0,3889,0.0
13111,527.0,10676,0.04936305732484077
13113,39118.0,79037,0.494932753014411
13115,33371.0,66155,0.5044365505252816
13117,98125.0,152484,0.6435101387686577
13121,271723.0,692416,0.3924273846935946
13123,4905.0,28292,0.1733705641170649
13125,2147.0,3082,0.6966255678131084
13127,27406.0,76073,0.3602592246920721
13129,11241.0,37798,0.2973966876554315
13131,1031.0,7332,0.1406164757228587
13133,3128.0,12130,0.2578730420445177
13135,312922.0,717090,0.4363775816145812
13137,7799.0,19205,0.4060921634990888
13139,44981.0,91241,0.49299108953211823
13141,5261.0,9429,0.557959486689999
13143,4816.0,13529,0.35597605144504396
13145,411.0,14401,0.02853968474411499
13149,433.0,7154,0.06052558009505172
